id,produto,quantidade,preço,data
67,caneta,10,1.00,18/04/24
68,caderno,5,5.00,18/04/24
69,borracha,20,0.50,18/04/24
70,régua,8,2.00,18/04/24
71,lápis,15,0.75,18/04/24
72,estojo,3,8.00,18/04/24
73,apontador,12,1.00,18/04/24
74,marca-texto,6,3.00,18/04/24
75,cola,10,2.00,18/04/24
76,tesoura,4,4.00,18/04/24
77,bola de futebol,3,20.00,18/04/24
78,tênis,2,60.00,18/04/24
79,camiseta,7,25.00,18/04/24
80,short,5,30.00,18/04/24
81,meia,10,5.00,18/04/24
82,chinelo,15,10.00,18/04/24
83,calça jeans,4,50.00,18/04/24
84,blusa de frio,3,40.00,18/04/24
85,boné,8,15.00,18/04/24
86,moletom,6,35.00,18/04/24
87,celular,2,800.00,18/04/24
88,carregador portátil,4,50.00,18/04/24
89,fone de ouvido,7,30.00,18/04/24
90,capinha de celular,10,10.00,18/04/24
91,mochila,3,70.00,18/04/24
92,cadarço,15,2.00,18/04/24
93,mouse,5,20.00,18/04/24
94,teclado,3,40.00,18/04/24
95,monitor,2,200.00,18/04/24
96,notebook,1,1.000.00,18/04/24
97,impressora,2,150.00,18/04/24
98,papel a4,20,15.00,18/04/24
99,grampo,100,0.25,18/04/24
100,grampeador,2,5.00,18/04/24
101,bateria,5,30.00,18/04/24
102,lâmpada,4,8.00,18/04/24
103,caneca,8,7.00,18/04/24
104,prato,10,4.00,18/04/24
105,talher,12,3.00,18/04/24
106,panela,3,20.00,18/04/24
107,frigideira,5,15.00,18/04/24
108,copo,15,2.00,18/04/24
109,papel higiênico,20,2.00,18/04/24
110,sabonete,10,3.00,18/04/24
111,shampoo,8,6.00,18/04/24
112,condicionador,5,8.00,18/04/24
113,escova de dentes,10,2.00,18/04/24
114,fio dental,6,3.00,18/04/24
115,desodorante,8,7.00,18/04/24
116,creme hidratante,4,10.00,18/04/24
117,esponja de banho,7,4.00,18/04/24
118,toalha de banho,3,12.00,18/04/24
119,sabão em pó,5,8.00,18/04/24
120,amaciante,6,6.00,18/04/24
121,vassoura,2,15.00,18/04/24
122,rodo,3,10.00,18/04/24
123,pano de limpeza,8,3.00,18/04/24
124,lixeira,1,20.00,18/04/24
125,desinfetante,4,5.00,18/04/24
126,água sanitária,5,4.00,18/04/24
127,luva de limpeza,6,2.00,18/04/24
128,esfregão,3,8.00,18/04/24
129,saco de lixo,10,3.00,18/04/24
130,cadeira,2,50.00,18/04/24
131,mesa,1,100.00,18/04/24
132,armário,1,150.00,18/04/24
